group,key,English,Korean,중복 체크
Common,Yes,Yes,예,-99999
Common,No,No,아니오,-99999
Common,OK,OK,확인,-99999
Common,Cancel,Cancel,취소,-99999
Common,Error,Error,오류,-99999
Common,Warning,Warning,경고,-99999
Common,Notice,Notice,알림,-99999
Common,Grade/None,None,없음,-99999
Common,Grade/Common,Common,일반,-99999
Common,Grade/Great,Great,우수,-99999
Common,Grade/Rare,Rare,희귀,-99999
Common,Grade/Epic,Epic,에픽,-99999
Common,Grade/Epic1,Epic +1,에픽 +1,-99999
Common,Grade/Epic2,Epic +2,에픽 +2,-99999
Common,Grade/Legendary,Legendary,전설,-99999
Common,Grade/Legendary1,Legendary +1,전설 +1,-99999
Common,Grade/Legendary2,Legendary +2,전설 +2,-99999
Common,Grade/Legendary3,Legendary +3,전설 +3,-99999
Common,Grade/Mythic,Mythic,신화,-99999
Common,Grade/Mythic1,Mythic +1,신화 +1,-99999
Common,Grade/Mythic2,Mythic +2,신화 +2,-99999
Common,Grade/Mythic3,Mythic +3,신화 +3,-99999
Common,Grade/Mythic4,Mythic +4,신화 +4,-99999
Common,EquipmentType/Weapon,Weapon,무기,-99999
Common,EquipmentType/Armor,Armor,방어구,-99999
Common,EquipmentType/Ring,Ring,반지,-99999
Common,EquipmentType/Accessories,Accessories,장신구,-99999
Common,TapToClose,Tap to close,탭하여 닫기,-99999
Account,LinkFailed,Failed to link account,계정 연동 실패,-99999
Account,AnonymousSignOutWarning,Game data of guest account will be deleted if you sign out.<br> Do you really want to sign out?,게스트 계정에서 로그아웃하면 모든 정보가 삭제됩니다.<br> 정말로 로그아웃하시겠습니까?,-99999
Account,SignOutWarning,Do you really want to sign out?,정말로 로그아웃하시겠습니까?,-99999
Account,WithdrawWarning,When you delete your account<c> all data collected by the game is deleted and cannot be recovered. <br> Any data stored on your device will also be deleted. <br> Are you sure you want to delete your account? <br> <br> <size=70%> All data includes personal information such as email<c> nickname<c> and PID<c> please check our Privacy Policy for details.,계정 삭제시 게임이 수집하는 모든 데이터가 삭제되며 복구가 불가능합니다. <br> 또한<c> 기기에 저장된 데이터도 모두 초기화됩니다. <br> 정말로 계정을 삭제하시겠습니까? <br> <br> <size=70%> 모든 데이터엔 이메일<c> 닉네임<c> PID 등의 개인정보가 포함되며 상세한 항목은 개인정보 처리방침을 확인해주시기 바랍니다.,-99999
Account,AccountChangeWarning,Game data of current account will be deleted if you sign in to the other account.<br> Do you really want to sign in?,다른 계정으로 로그인하면 현재 계정의 모든 데이터가 삭제되며 복구가 불가능합니다.<br> 정말로 다른 계정으로 로그인하시겠습니까?,-99999
Account,RestartGame,Please restart the game.,게임을 다시 시작해주세요.,-99999
TextFilter,BlankSpace,Blank spaces are not allowed.,공백 문자는 사용할 수 없습니다.,-99999
TextFilter,InvalidCharacter,You can't use special characters.,특수 문자는 사용할 수 없습니다.,-99999
TextFilter,BannedWordIncluded,Contains an unavailable word.,사용할 수 없는 단어가 포함되어있습니다.,-99999
TextFilter,InvalidLength,Your nickname must be least 4 characters and no more than 20 characters.,닉네임은 4자 이상 20자 이하여야 합니다.,-99999
SystemUI,ToastMessage/NotEnough,Not enough {[property]},{[property]}이(가) 부족합니다.,-99999
Building,Name/Tree,Tree,나무,-99999
Building,Name/TreasureBox,Tree,#보물 상자,-99999
Building,Name/Rock,Rock,바위,-99999
Building,Name/Castle_0,Castle,영주의 성,-99999
Building,Name/Castle_1,Castle,영주의 성,-99999
Building,Name/Castle_2,Castle,영주의 성,-99999
Building,Name/Market_0,Market,시장,-99999
Building,Name/Market_1,Market,시장,-99999
Building,Name/Market_2,Market,시장,-99999
Building,Name/Bank_0,Bank,은행,-99999
Building,Name/WheatField_0,WheatField,밀 밭,-99999
Building,Name/WheatField_1,WheatField,밀 밭,-99999
Building,Name/Windmill_0,Windmill,풍차,-99999
Building,Name/Windmill_1,Windmill,풍차,-99999
Building,Name/ArrowTower_0,Tower,화살 탑,-99999
Building,Name/ArrowTower_1,Tower,화살 탑,-99999
Building,Name/ArrowTower_2,Tower,화살 탑,-99999
Building,Name/House_0,House,집,-99999
Building,Name/House_1,House,집,-99999
Building,Name/House_2,House,집,-99999
Building,Name/DirectionSign,DirectionSign,방향 표지판,-99999
Building,Name/ArmsMarket,Market,무기 시장,-99999
Building,Name/FarmerHouse,House,농부의 집,-99999
Building,Name/ArcherTrainingCenter,ArcherTrainingCenter,궁수 양성소,-99999
Building,Name/CavalrymanStatue,CavalrymanStatue,기병의 동상,-99999
Building,Name/ArcherStatue,ArcherStatue,궁수의 동상,-99999
Building,Name/EnemyCastle,Castle,해골 성,-99999
Building,Name/EnemyHouse,House,슬라임 동굴,-99999
Building,Desc/Tree,Desc/Tree,충돌시 <sprite name=Gold>+3 (총 6회),-99999
Building,Desc/TreasureBox,Desc/TreasureBox,충돌시 <sprite name=Gold><color=#f4b900>골드</color> 30 획득 (총 3회),-99999
Building,Desc/Rock,Desc/Rock,단단한 바위,-99999
Building,Desc/Castle_0,Desc/Castle_0,충돌시 <sprite name=Gold>+5,-99999
Building,Desc/Castle_1,Desc/Castle_1,충돌시 <sprite name=Gold>20 획득.,-99999
Building,Desc/Castle_2,Desc/Castle_2,충돌시 <sprite name=Gold>20 획득.<color=#559FFA>1칸 이내</color>의 모든 집<c> 농부의 집 <sprite name=VillagerNormal> 수 +1,-99999
Building,Desc/Market_0,Desc/Market_0,충돌시 <sprite name=Gold>+3,-99999
Building,Desc/Market_1,Desc/Market_1,충돌시 <sprite name=Gold>+5,-99999
Building,Desc/Market_2,Desc/Market_2,충돌시 <sprite name=Gold>+7,-99999
Building,Desc/Bank_0,Desc/Bank_0,모든 시장<c> 무기 시장의 <sprite name=Gold>+3,-99999
Building,Desc/WheatField_0,Desc/WheatField_0,10초마다 <sprite name=Gold> +1. <color=#559FFA>1칸 이내</color>의 밀밭 수만큼 <sprite name=Gold> 증가.,-99999
Building,Desc/WheatField_1,Desc/WheatField_1,10초마다 <sprite name=Gold> +2. <color=#559FFA>1칸 이내</color>의 밀밭 수 x2만큼 <sprite name=Gold> 증가.,-99999
Building,Desc/Windmill_0,Desc/Windmill_0,충돌시 <color=#559FFA>1칸 이내</color>의 밀밭 수 x5만큼 <sprite name=Gold>획득,-99999
Building,Desc/Windmill_1,Desc/Windmill_1,충돌시 <color=#559FFA>2칸 이내</color>의 밀밭 수 x5만큼 <sprite name=Gold>획득,-99999
Building,Desc/ArrowTower_0,Desc/ArrowTower_0,충돌시 <color=#559FFA>3칸 이내</color>의 칸 1개 공격,-99999
Building,Desc/ArrowTower_1,Desc/ArrowTower_1,충돌시 <color=#559FFA>4칸 이내</color>의 칸 1개 공격,-99999
Building,Desc/ArrowTower_2,Desc/ArrowTower_2,충돌시 <color=#559FFA>5칸 이내</color>의 칸 2개 공격,-99999
Building,Desc/House_0,Desc/House_0,<sprite name=VillagerNormal> +1,-99999
Building,Desc/House_1,Desc/House_1,<sprite name=VillagerNormal> +2,-99999
Building,Desc/House_2,Desc/House_2,<sprite name=VillagerNormal> 3 획득. <color=#559FFA>1칸 이내</color>의 집<c> 농부의 집의 <sprite name=VillagerNormal> 수 +1,-99999
Building,Desc/DirectionSign,Desc/DirectionSign,충돌시 캐릭터를 지정한 방향으로 밀어냄. 방향 회전 가능,-99999
Building,Desc/ArmsMarket,Desc/ArmsMarket,충돌시 <sprite name=Gold>+5. <color=#559FFA>3칸 이내</color>의 화살 탑의 공격 타겟 수 +1,-99999
Building,Desc/FarmerHouse,Desc/FarmerHouse,<color=#559FFA>1칸 이내</color>의 밀 밭 수 x1만큼의 <sprite name=VillagerNormal> 획득,-99999
Building,Desc/ArcherTrainingCenter,Desc/ArcherTrainingCenter,<sprite name=VillagerArcher> 1 획득,-99999
